FEN,GameNumber,Move,MoveNumber,Side
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,1,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,2,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,3,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,4,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,5,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,6,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,7,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,8,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,9,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,10,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,11,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,12,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,13,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,14,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,15,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,16,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,17,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,18,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,19,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,20,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,21,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,22,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,23,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,24,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,25,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,26,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,27,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,28,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,29,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,30,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,31,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,32,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,33,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,34,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,35,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,36,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,37,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,38,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,39,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,40,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,41,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,42,d4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,43,d4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,44,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,45,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,46,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,47,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,48,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,49,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,50,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,51,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,52,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,53,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,54,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,55,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,56,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,57,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,58,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,59,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,60,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,61,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,62,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,63,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,64,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,65,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,66,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,67,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,68,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,69,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,70,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,71,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,72,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,73,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,74,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,75,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,76,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,77,e4,1,white
rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R,78,Nf3,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,79,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,80,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,81,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,82,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,83,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,84,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,85,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,86,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,87,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,88,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,89,d4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,90,d4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,91,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,92,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,93,d4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,94,d4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,95,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,96,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,97,d4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,98,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,99,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,100,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,101,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,102,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,103,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,104,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,105,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,106,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,107,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,108,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,109,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,110,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,111,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,112,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,113,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,114,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,115,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,116,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,117,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,118,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,119,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,120,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,121,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,122,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,123,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,124,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,125,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,126,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,127,e4,1,white
rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR,128,d4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,129,e4,1,white
rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR,130,e4,1,white
